binance_symbol,base_asset,multiplier,futures_price_usd,unit_price_from_futures_usd,perp_onboard_days,has_spot_usdt,spot_symbol,spot_price_usd,coingecko_id,coingecko_symbol,coingecko_name,coingecko_price_usd,price_diff_pct,market_cap_usd,fdv_usd,chain,contract,match_status,filter_reason
ZILUSDT,ZIL,1,0.00701,0.00701,2233,true,ZILUSDT,0.00702,zilliqa,zil,Zilliqa,0.00700589,0.0005866492337161842,136991649,141758769,binance-smart-chain,0xb86abcb37c3a4b64f74f59301aff131a1becc787,matched,
KNCUSDT,KNC,1,0.2811,0.2811,2233,true,KNCUSDT,0.2811,kyber-network-crystal,knc,Kyber Network Crystal,0.280929,0.0006086947235779583,47777112,67546555,ethereum,0xdefa4e8a7bcba345f687a2f1456f5edd9ce97202,matched,
ZRXUSDT,ZRX,1,0.1888,0.1888,2233,true,ZRXUSDT,0.1891,0x,zrx,0x Protocol,0.188662,0.0007314668560706408,159778239,188329663,ethereum,0xe41d2489571d322189246dafa5ebde1f4699f498,matched,
DOGEUSDT,DOGE,1,0.16824,0.16824,2233,true,DOGEUSDT,0.16837,dogecoin,doge,Dogecoin,0.167947,0.0017445979981779234,25461058044,25466048820,,,matched,
BANDUSDT,BAND,1,0.4643,0.4643,2233,true,BANDUSDT,0.465,band-protocol,band,Band,0.46383,0.0010133022874759512,77055339,77418076,ethereum,0xba11d00c5f74255f56a5e366f4f77f5a186d7f55,matched,
SXPUSDT,SXP,1,0.1043,0.1043,2233,true,SXPUSDT,0.1045,swipe,sxp,Solar,0.104264,0.00034527737282291345,68689171,68903269,ethereum,0x8ce9137d39326ad0cd6491fb5cc0cba0e089b6a9,matched,
SNXUSDT,SNX,1,0.873,0.873,2233,true,SNXUSDT,0.874,havven,snx,Synthetix,0.872388,0.0007015227169561547,298665614,299033990,ethereum,0xc011a73ee8576fb46f5e1c5751ca3b9fe0af2a6f,matched,
DOTUSDT,DOT,1,2.649,2.649,2233,true,DOTUSDT,2.651,polkadot,dot,Polkadot,2.65,0.0003773584905659962,4310166042,4310166042,ethereum,0x196c20da81fbc324ecdf55501e95ce9f0bd84d14,matched,
RLCUSDT,RLC,1,0.7818,0.7818,2233,true,RLCUSDT,0.782,iexec-rlc,rlc,iExec RLC,0.781087,0.0009128304529457983,56438805,67836295,ethereum,0x607f4c5bb672230e8672085532f7e901544a7375,matched,
TRBUSDT,TRB,1,22.756,22.756,2233,true,TRBUSDT,22.78,tellor,trb,Tellor Tributes,22.7,0.0024669603524229487,61694193,63398419,ethereum,0x88df592f8eb5d7bd38bfef7deb0fbc02cf3778a0,matched,
CRVUSDT,CRV,1,0.439,0.439,2233,true,CRVUSDT,0.4405,curve-dao-token,crv,Curve DAO,0.439115,0.00026189039317713183,622485238,1016100061,ethereum,0xd533a949740bb3306d119cc777fa900ba034cd52,matched,
COMPUSDT,COMP,1,32.04,32.04,2233,true,COMPUSDT,32.08,compound-governance-token,comp,Compound,32,0.0012499999999999734,307883091,319395708,ethereum,0xc00e94cb662c3520282e6f5717214004a7f26888,matched,
SOLUSDT,SOL,1,163.64,163.64,2233,true,SOLUSDT,163.77,solana,sol,Solana,163.27,0.002266184847185497,90027391485,99908226260,,,matched,
EGLDUSDT,EGLD,1,8.588,8.588,2233,true,EGLDUSDT,8.61,elrond-erd-2,egld,MultiversX,8.59,0.00023282887078005448,246634121,246634121,,,matched,
KAVAUSDT,KAVA,1,0.1142,0.1142,2233,true,KAVAUSDT,0.1148,kava,kava,Kava,0.114648,0.003907612867210976,124345176,124345176,binance-smart-chain,0x9bafc8d4b487cebff201721702507a3e2c67ad79,matched,
RUNEUSDT,RUNE,1,0.765,0.765,2233,true,RUNEUSDT,0.766,thorchain,rune,THORChain,0.764257,0.000972186057831396,268220650,324774553,,,matched,
ICXUSDT,ICX,1,0.0748,0.0748,2233,true,ICXUSDT,0.075,icon,icx,ICON,0.075019,0.002919260454018275,80744902,81898784,,,matched,
AVAXUSDT,AVAX,1,16.96,16.96,2233,true,AVAXUSDT,16.97,avalanche-2,avax,Avalanche,16.93,0.001772002362669884,7213908820,7777136794,,,matched,
SUSHIUSDT,SUSHI,1,0.4451,0.4451,2233,true,SUSHIUSDT,0.4457,sushi,sushi,Sushi,0.444603,0.0011178512065819835,85558837,127669227,ethereum,0x6b3595068778dd592e39a122f4f5a5cf09c90fe2,matched,
STORJUSDT,STORJ,1,0.1479,0.1479,2233,true,STORJUSDT,0.148,storj,storj,Storj,0.147652,0.001679625064340464,21210688,62693532,ethereum,0xb64ef51c888972c908cfacf59b47c1afbc0ab8ac,matched,
KSMUSDT,KSM,1,9.277,9.277,2233,true,KSMUSDT,9.29,kusama,ksm,Kusama,9.28,0.00032327586206897776,160225763,160225763,hydration,asset_registry%2F1000771,matched,
FLMUSDT,FLM,1,0.0213,0.0213,2233,true,FLMUSDT,0.0213,flamingo-finance,flm,Flamingo Finance,0.02120442,0.00450755078422319,11855072,11855072,,,matched,
YFIUSDT,YFI,1,4479,4479,2233,true,YFIUSDT,4482,yearn-finance,yfi,yearn.finance,4474.63,0.0009766170610754164,151712228,163849514,ethereum,0x0bc529c00c6401aef6d220be8c6ea1667f6ad93e,matched,
ENJUSDT,ENJ,1,0.03912,0.03912,2233,true,ENJUSDT,0.03918,enjincoin,enj,Enjin Coin,0.03909045,0.0007559391104477739,74126637,75656816,ethereum,0xf629cbd94d3791c9250152bd8dfbdf380e2a3b9c,matched,
AAVEUSDT,AAVE,1,204.55,204.55,2233,true,AAVEUSDT,204.71,aave,aave,Aave,204.4,0.0007338551859100083,3113880228,3264401481,ethereum,0x7fc66500c84a76ad7e9c93437bfc5ac33e2ddae9,matched,
FILUSDT,FIL,1,1.409,1.409,2233,true,FILUSDT,1.412,filecoin,fil,Filecoin,1.41,0.0007092198581559502,992568092,2752293811,,,matched,
LRCUSDT,LRC,1,0.06095,0.06095,2233,true,LRCUSDT,0.061,loopring,lrc,Loopring,0.060841,0.0017915550368994262,75707910,83478167,ethereum,0xbbbbca6a901c926f240b89eacb641d8aec7aeafd,matched,
RSRUSDT,RSR,1,0.004467,0.004467,2233,true,RSRUSDT,0.004475,reserve-rights-token,rsr,Reserve Rights,0.00446683,0.00003805830980804234,273164433,447332401,ethereum,0x320623b8e4ff03373931769a31fc52a4e78b5d70,matched,
AXSUSDT,AXS,1,1.237,1.237,2233,true,AXSUSDT,1.237,axie-infinity,axs,Axie Infinity,1.23,0.005691056910569201,205129002,331725494,ethereum,0xbb0e17ef65f82ab018d8edd776e8dd940327b28b,matched,
SKLUSDT,SKL,1,0.01605,0.01605,1899,true,SKLUSDT,0.01607,skale,skl,SKALE,0.01603902,0.0006845804793557986,96772892,97254774,ethereum,0x00c83aecc790e8a4453e5dd3b0b4b3680501a7a7,matched,
SANDUSDT,SAND,1,0.18501,0.18501,1752,true,SANDUSDT,0.1851,the-sandbox,sand,The Sandbox,0.184611,0.002161301330906666,449924921,551861655,ethereum,0x3845badade8e6dff049820680d1f14bd3903a5d0,matched,
COTIUSDT,COTI,1,0.02794,0.02794,1702,true,COTIUSDT,0.02802,coti,coti,COTI,0.02790856,0.0011265360878526386,68527734,68527917,ethereum,0xddb3422497e61e13543bea06989c0789117555c5,matched,
CHZUSDT,CHZ,1,0.02928,0.02928,1749,true,CHZUSDT,0.02933,,,,,,,,,,cg_not_found,
ALICEUSDT,ALICE,1,0.25,0.25,1696,true,ALICEUSDT,0.2503,my-neighbor-alice,alice,My Neighbor Alice,0.249384,0.00247008629262505,22960576,24934562,ethereum,0xac51066d7bec65dc4589368da368b212745d63e8,matched,
RVNUSDT,RVN,1,0.01029,0.01029,1716,true,RVNUSDT,0.01031,,,,,,,,,,cg_not_found,
MANAUSDT,MANA,1,0.2138,0.2138,1697,true,MANAUSDT,0.214,,,,,,,,,,cg_not_found,
HBARUSDT,HBAR,1,0.17576,0.17576,1694,true,HBARUSDT,0.17592,hedera-hashgraph,hbar,Hedera,0.175542,0.0012418680429754473,7444231188,8763026359,,,matched,
ONEUSDT,ONE,1,0.00502,0.00502,1694,true,ONEUSDT,0.00504,,,,,,,,,,cg_not_found,
CELRUSDT,CELR,1,0.00524,0.00524,1682,true,CELRUSDT,0.005237,,,,,,,,,,cg_not_found,
MTLUSDT,MTL,1,0.4173,0.4173,1680,true,MTLUSDT,0.418,metal,mtl,Metal DAO,0.41955,0.0053628888094386234,36777676,36777676,metal-l2,0xbcfc435d8f276585f6431fc1b9ee9a850b5c00a9,matched,
OGNUSDT,OGN,1,0.0394,0.0394,1680,true,OGNUSDT,0.0395,origin-protocol,ogn,Origin Token,0.03943787,0.0009602445568181635,25958320,55418519,ethereum,0x8207c1ffc5b6804f6024322ccf34f29c3541ae26,matched,
HOTUSDT,HOT,1,0.000567,0.000567,1681,true,HOTUSDT,0.000568,,,,,,,,,,cg_not_found,
UNIUSDT,UNI,1,5.475,5.475,2233,true,UNIUSDT,5.479,uniswap,uni,Uniswap,5.46,0.002747252747252689,3428393840,5442821557,ethereum,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,matched,
BELUSDT,BEL,1,0.1877,0.1877,2233,true,BELUSDT,0.1875,bella-protocol,bel,Bella Protocol,0.18733,0.001975124112528742,14950967,18688709,ethereum,0xa91ac63d040deb1b7a5e4d4134ad23eb0ba07e14,matched,
1INCHUSDT,1INCH,1,0.1683,0.1683,1776,false,,,1inch,1inch,1INCH,0.168474,0.0010328003134015187,234559448,251410132,ethereum,0x111111111117dc0aa78b770fa6a738034120c302,matched,
CHRUSDT,CHR,1,0.0684,0.0684,1699,true,CHRUSDT,0.0684,chromaway,chr,Chromia,0.068389,0.00016084458026871458,58017770,58017770,ethereum,0x8a2279d4a90b6fe1c4b30fa660cc9f926797baa2,matched,
NEARUSDT,NEAR,1,1.947,1.947,2233,true,NEARUSDT,1.948,near,near,NEAR Protocol,1.94,0.003608247422680473,2478283026,2478283051,ethereum,0x85f17cf997934a597031b2e18a9ab6ebd4b9f6a4,matched,
BTCDOMUSDT,BTCDOM,1,4565.9,4565.9,1602,false,,,,,,,,,,,,cg_not_found,
IOTXUSDT,IOTX,1,0.01002,0.01002,1547,true,IOTXUSDT,0.01003,iotex,iotx,IoTeX,0.01002308,0.00030729077289623453,94641075,94641075,ethereum,0x6fb3e0a217407efff7ca062d46c26e5d60a14d69,matched,
MASKUSDT,MASK,1,0.7749,0.7749,1573,true,MASKUSDT,0.775,mask-network,mask,Mask Network,0.774008,0.0011524428688075626,77389150,77389150,ethereum,0x69af81e73a73b40adf4f3d4223cd9b1ece623074,matched,
DENTUSDT,DENT,1,0.000384,0.000384,1688,true,DENTUSDT,0.000384,dent,dent,Dent,0.0003833,0.0018262457605009576,36649452,38314220,ethereum,0x3597bfd533a99c9aa083587b074434e61eb0a258,matched,
ZENUSDT,ZEN,1,20.726,20.726,2233,true,ZENUSDT,20.749,zencash,zen,Horizen,20.78,0.0025986525505294535,364869893,436164815,base,0xf43eb8de897fbc7f2502483b2bef7bb9ea179229,matched,
C98USDT,C98,1,0.0322,0.0322,1535,true,C98USDT,0.0323,coin98,c98,Coin98,0.03218308,0.0005257420980215896,32177279,32177313,ethereum,0xae12c5930881c53715b369cec7606b70d8eb229f,matched,
ATAUSDT,ATA,1,0.0241,0.0241,1528,true,ATAUSDT,0.024,automata,ata,Automata,0.02408638,0.0005654647979480067,14158668,24087887,ethereum,0xa2120b9e674d3fc3875f415a7df52e382f141225,matched,
GALAUSDT,GALA,1,0.00905,0.00905,1510,true,GALAUSDT,0.00906,gala,gala,GALA,0.00904293,0.0007818262443700638,418890188,418890188,ethereum,0xd1d2eb1b1e90b638588728b4130137d262c87cae,matched,
GTCUSDT,GTC,1,0.175,0.175,1696,true,GTCUSDT,0.174,gitcoin,gtc,Gitcoin,0.174032,0.005562195458306499,16708323,17335032,ethereum,0xde30da39c46104798bb5aa3fe8b9e0e1f348163f,matched,
1000XECUSDT,1000XEC,1000,0.01345,0.00001345,1511,true,XECUSDT,0.00001348,ecash,xec,eCash,0.00001344,0.000744047619047612,268065199,268065199,,,matched,
ARPAUSDT,ARPA,1,0.01628,0.01628,1479,true,ARPAUSDT,0.0163,arpa,arpa,ARPA,0.01624987,0.0018541686795032662,15915329,32408350,ethereum,0xba50933c268f567bdc86e1ac131be072c6b0b71a,matched,
DYDXUSDT,DYDX,1,0.284,0.284,1518,true,DYDXUSDT,0.2854,dydx-chain,dydx,dYdX,0.284842,0.002956024743542067,226779729,272491284,cosmos,ibc/831F0B1BBB1D08A2B75311892876D71565478C532967545476DF4C2D7492E48C,matched,
SFPUSDT,SFP,1,0.3373,0.3373,1715,true,SFPUSDT,0.3377,safepal,sfp,SafePal,0.337161,0.00041226595009505914,168549466,168549466,ethereum,0x12e2b8033420270db2f3b328e32370cb5b2ca134,matched,
ARUSDT,AR,1,4.213,4.213,1499,true,ARUSDT,4.22,arweave,ar,Arweave,4.21,0.0007125890736342313,275728118,275728118,,,matched,
ENSUSDT,ENS,1,13.03,13.03,1437,true,ENSUSDT,13.04,ethereum-name-service,ens,Ethereum Name Service,13,0.0023076923076922585,488217097,1297535671,ethereum,0xc18360217d8f7ab5e7c516566761ea12ce7f9d72,matched,
ANKRUSDT,ANKR,1,0.00884,0.00884,1745,true,ANKRUSDT,0.00885,,,,,,,,,,cg_not_found,
CELOUSDT,CELO,1,0.226,0.226,1501,true,CELOUSDT,0.2269,celo,celo,Celo,0.225898,0.00045153122205605515,132477476,225766030,celo,0x471ece3750da237f93b8e339c536989b8978a438,matched,
PEOPLEUSDT,PEOPLE,1,0.01024,0.01024,1413,true,PEOPLEUSDT,0.01024,constitutiondao,people,ConstitutionDAO,0.01021009,0.0029294550782609213,51542321,51542321,ethereum,0x7a58c0be72be218b41c608b7fe7c5bb630736c71,matched,
ROSEUSDT,ROSE,1,0.01808,0.01808,1405,true,ROSEUSDT,0.01811,oasis-network,rose,Oasis,0.01803825,0.002314526076531821,134740462,180090592,binance-smart-chain,0xf00600ebc7633462bc4f9c61ea2ce99f5aaebd4a,matched,
FLOWUSDT,FLOW,1,0.241,0.241,1365,true,FLOWUSDT,0.241,flow,flow,Flow,0.24051,0.002037337324851318,388106280,388106280,,,matched,
API3USDT,API3,1,0.5957,0.5957,1353,true,API3USDT,0.5965,api3,api3,Api3,0.595005,0.00116805741128226,78250765,91451620,ethereum,0x0b38210ea11411557c13457d4da7dc6ea731b88a,matched,
APEUSDT,APE,1,0.3708,0.3708,1329,true,APEUSDT,0.3713,apecoin,ape,ApeCoin,0.370815,0.00004045143804858823,336935868,370803269,,,matched,
OPUSDT,OP,1,0.373,0.373,1253,true,OPUSDT,0.3733,optimism,op,Optimism,0.372012,0.002655828306613735,702992740,1591994699,optimistic-ethereum,0x4200000000000000000000000000000000000042,matched,
GMTUSDT,GMT,1,0.02246,0.02246,1332,true,GMTUSDT,0.02247,stepn,gmt,GMT,0.02236539,0.004230196745954437,69383734,113146060,ethereum,0xe3c408bd53c31c085a1746af401a4042954ff740,matched,
SPELLUSDT,SPELL,1,0.0002891,0.0002891,1157,true,SPELLUSDT,0.000289,spell-token,spell,Spell,0.00028881,0.0010041203559432092,49300415,56598248,ethereum,0x090185f2135308bad17527004364ebcc2d37e5f6,matched,
INJUSDT,INJ,1,6.728,6.728,1177,true,INJUSDT,6.73,injective-protocol,inj,Injective,6.72,0.0011904761904761917,653983308,669192581,ethereum,0xe28b3b32b6c345a34ff64674606124dd5aceca30,matched,
LUNA2USDT,LUNA2,1,0.0816,0.0816,1153,false,,,,,,,,,,,,cg_not_found,
STGUSDT,STG,1,0.1284,0.1284,1169,true,STGUSDT,0.1287,stargate-finance,stg,Stargate Finance,0.128441,0.00031921271245173463,124776591,128441710,ethereum,0xaf5191b0de278c7286d6c7cc6ab6bb8a73ba2cd6,matched,
1000SHIBUSDT,1000SHIB,1000,0.009206,0.000009206000000000001,1640,true,SHIBUSDT,0.00000922,shiba-inu,shib,Shiba Inu,0.00000919,0.0017410228509250492,5400225987,5402566505,ethereum,0x95ad61b0a150d79219dcf64e1e6cc01f0b64c4ce,matched,
LDOUSDT,LDO,1,0.7703,0.7703,1141,true,LDOUSDT,0.7709,lido-dao,ldo,Lido DAO,0.769378,0.0011983706318610338,687296154,767269581,ethereum,0x5a98fcbea516cf06857215779fd812ca3bef1b32,matched,
ICPUSDT,ICP,1,5.235,5.235,1559,true,ICPUSDT,5.253,internet-computer,icp,Internet Computer,5.21,0.004798464491362832,2804908028,2804908028,ethereum,0x00f3c42833c3170159af4e92dbb451fb3f708917,matched,
WOOUSDT,WOO,1,0.03306,0.03306,1308,true,WOOUSDT,0.0331,woo-network,woo,WOO,0.0330886,0.0008643460285416614,62855692,72753845,ethereum,0x4691937a7508860f876c9c0a2a617e7d9e945d4b,matched,
FXSUSDT,FXS,1,1.2446,1.2446,1021,true,FXSUSDT,1.244,frax-share,frax,Frax (prev. FXS),1.24,0.0037096774193547885,111184240,123813560,ethereum,0x3432b6a60d23ca0dfca7761b7ab56459d9c964d0,matched,
APTUSDT,APT,1,2.6675,2.6675,1114,true,APTUSDT,2.674,aptos,apt,Aptos,2.67,0.0009363295880149613,1916259489,3147911618,aptos,0x1::aptos_coin::AptosCoin,matched,
HOOKUSDT,HOOK,1,0.05247,0.05247,1021,true,HOOKUSDT,0.0525,hooked-protocol,hook,Hooked Protocol,0.052362,0.002062564455139298,15832355,26097289,binance-smart-chain,0xa260e12d2b924cb899ae80bb58123ac3fee1e2f0,matched,
MAGICUSDT,MAGIC,1,0.1134,0.1134,1017,true,MAGICUSDT,0.1136,magic,magic,Treasure,0.113101,0.0026436547864298957,35805710,39323138,ethereum,0xb0c7a3ba49c7a6eaba6cd4a96c55a1391070ac9a,matched,
TUSDT,T,1,0.01208,0.01208,1009,true,TUSDT,0.0121,bitcoin,btc,Bitcoin,104210,0.9999998840802227,2075082079022,2075082079022,,,price_too_far,
FETUSDT,FET,1,0.2246,0.2246,1025,true,FETUSDT,0.2248,,,,,,,,,,cg_not_found,
ASTRUSDT,ASTR,1,0.014361,0.014361,996,true,ASTRUSDT,0.01438,astar,astr,Astar,0.01435384,0.0004988212213596394,118030374,122912784,ethereum,0xf27441230eadeac85b764610325cc9a0d7859689,matched,
MINAUSDT,MINA,1,0.1366,0.1366,1006,true,MINAUSDT,0.1368,,,,,,,,,,cg_not_found,
GMXUSDT,GMX,1,9.137,9.137,993,true,GMXUSDT,9.16,gmx,gmx,GMX,9.12,0.001864035087719434,94317049,94317049,arbitrum-one,0xfc5a1a6eb076a2c7ad06ed22c90d7e710e35ad0a,matched,
CFXUSDT,CFX,1,0.09152,0.09152,990,true,CFXUSDT,0.0915,conflux-token,cfx,Conflux,0.091463,0.0006232028251861571,470185283,522481075,,,matched,
STXUSDT,STX,1,0.3614,0.3614,989,true,STXUSDT,0.3618,,,,,,,,,,cg_not_found,
ACHUSDT,ACH,1,0.011085,0.011085,988,true,ACHUSDT,0.01109,,,,,,,,,,cg_not_found,
SSVUSDT,SSV,1,4.003,4.003,986,true,SSVUSDT,4.005,,,,,,,,,,cg_not_found,
CKBUSDT,CKB,1,0.003107,0.003107,982,true,CKBUSDT,0.003114,nervos-network,ckb,Nervos Network,0.00310643,0.0001834903731936932,147680151,150032068,,,matched,
PERPUSDT,PERP,1,0.1398,0.1398,976,true,PERPUSDT,0.1397,perpetual-protocol,perp,Perpetual Protocol,0.139715,0.0006083813477436333,10144455,20956770,ethereum,0xbc396689893d065f41bc2c6ecbee5e0085233447,matched,
TRUUSDT,TRU,1,0.01604,0.01604,975,true,TRUUSDT,0.0161,truefi,tru,TrueFi,0.01605142,0.0007114635340674885,21341786,21580193,ethereum,0x4c19596f5aaff459fa38b0f7ed92f11ae6543784,matched,
LQTYUSDT,LQTY,1,0.5005,0.5005,973,true,LQTYUSDT,0.501,liquity,lqty,Liquity,0.500325,0.0003497726477787942,48916948,49956785,ethereum,0x6dea81c8171d0ba574754ef6f8b412f2ed88c54d,matched,
USDCUSDT,USDC,1,0.999396,0.999396,969,true,USDCUSDT,1,usd-coin,usdc,USDC,0.999793,0.00039708219601466673,75022151994,75024979860,ethereum,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,matched,
IDUSDT,ID,1,0.09257,0.09257,958,true,IDUSDT,0.0926,staked-ether,steth,Lido Staked Ether,3451.36,0.9999731786889806,29886167911,29886167911,ethereum,0xae7ab96520de3a18e5e111b5eaab095312d7fe84,price_too_far,
ARBUSDT,ARB,1,0.2709,0.2709,958,true,ARBUSDT,0.2711,arbitrum,arb,Arbitrum,0.270575,0.0012011457082138563,1489571988,2703548604,ethereum,0xb50721bcf8d664c30412cfbc6cf7a15145234ad1,matched,
PHBUSDT,PHB,1,0.3511,0.3511,994,true,PHBUSDT,0.351,phoenix-global,phb,Phoenix,0.350583,0.0014746864508548483,20925029,20925029,binance-smart-chain,0x0409633a72d846fc5bbe2f98d88564d35987904d,matched,
GRTUSDT,GRT,1,0.05711,0.05711,1783,true,GRTUSDT,0.05716,the-graph,grt,The Graph,0.057065,0.0007885744326645644,603037023,616193886,ethereum,0xc944e90c64b2c07662a292be6244bdf05cda44a7,matched,
IMXUSDT,IMX,1,0.426,0.426,1364,true,IMXUSDT,0.426,immutable-x,imx,Immutable,0.425315,0.0016105709885613985,834943233,850050627,ethereum,0xf57e7e7c23978c3caec3c3548e3d615c346e79ff,matched,
RDNTUSDT,RDNT,1,0.01408,0.01408,946,true,RDNTUSDT,0.0141,radiant-capital,rdnt,Radiant Capital,0.01407219,0.0005549953489826712,18180634,21106339,ethereum,0x137ddb47ee24eaa998a535ab00378d6bfa84f893,matched,
HFTUSDT,HFT,1,0.04281,0.04281,945,true,HFTUSDT,0.0428,hashflow,hft,Hashflow,0.04277358,0.0008514601770532717,26580831,42772413,ethereum,0xb3999f658c0391d94a37f7ff328f3fec942bcadc,matched,
TLMUSDT,TLM,1,0.002832,0.002832,952,true,TLMUSDT,0.00283,alien-worlds,tlm,Alien Worlds,0.00282882,0.0011241436358622192,17304459,19327945,ethereum,0x888888848b652b3e3a0f34c96e00eec0f3a23f72,matched,
XVSUSDT,XVS,1,4.272,4.272,938,true,XVSUSDT,4.27,venus,xvs,Venus,4.27,0.00046838407494160844,71539915,127053940,ethereum,0xd3cc9d8f3689b83c91b7b59cab4946b063eb894a,matched,
BLURUSDT,BLUR,1,0.04238,0.04238,923,true,BLURUSDT,0.04242,blur,blur,Blur,0.04229026,0.0021220016145561144,109422694,126841469,ethereum,0x5283d291dbcf85356a21ba090e6db59121208b44,matched,
QNTUSDT,QNT,1,86.67,86.67,1114,true,QNTUSDT,86.75,quant-network,qnt,Quant,86.6,0.0008083140877599007,1258823121,1264736059,ethereum,0x4a220e6096b25eadb88358cb44068a3248254675,matched,
CTSIUSDT,CTSI,1,0.0442,0.0442,1472,true,CTSIUSDT,0.0442,cartesi,ctsi,Cartesi,0.04414779,0.0011826186542973935,39088933,44107664,ethereum,0x491604c0fdf08347dd1fa4ee062a822a5dd06b5d,matched,
